zip_code,avg_household_size_adj,pct_below_poverty_level,pct age>65,interaction,case_per_100k,Predicted Y,residuals,latitude,longitude
10312,1.880934431,6.5,17.180,111.6689072,2306.409031,2378.095577,-71.68654619,40.547291,-74.179264
10314,1.856455583,9.5,17.238,163.7570102,2752.28347,2435.622781,316.6606883,40.598825,-74.163336
10451,1.487957956,35.5,12.595,447.1107578,3092.179589,2305.524487,786.6551022,40.822092,-73.922612
10452,1.879462604,37.2,8.086,300.8154789,2760.32493,2223.479169,536.8457603,40.837763,-73.923314
10453,1.860356488,40.5,8.437,341.6802754,2681.958646,2211.536026,470.4226199,40.852779,-73.912332
10454,1.822349054,45.9,8.408,385.9141952,2711.828914,2706.650954,5.177960394,40.805528,-73.916632
10455,1.854998264,39.6,9.153,362.4435352,2724.499208,2491.610246,232.8889615,40.814678,-73.908333
10456,1.981412231,38.7,9.024,349.2192575,2400.815131,2411.624745,-10.80961366,40.830877,-73.907954
10457,1.893273524,38.1,9.059,345.1557261,2543.123105,2421.005017,122.1180888,40.846687,-73.898374
10458,1.955439484,35.3,7.844,276.900667,2203.430205,2313.234558,-109.8043534,40.862831,-73.886395
10459,1.904938347,34.3,10.060,345.0501541,2837.583504,2472.817265,364.766239,40.825558,-73.893156
10460,1.855386196,36.7,11.112,407.7983363,2512.393916,2638.111976,-125.7180598,40.842724,-73.879745
10461,1.602317324,14.8,15.568,230.4012076,3495.670136,2133.908762,1361.761374,40.847409,-73.841403
10462,1.584999492,19.5,12.045,234.8708896,2738.548127,1897.853629,840.6944977,40.842823,-73.858861
10463,1.404286312,17.2,19.780,340.2158072,2453.755605,2116.913946,336.8416596,40.880678,-73.90654
10464,1.33229794,8.1,22.485,182.1312585,2593.594948,2144.000106,449.5948425,40.867099,-73.797609
10465,1.643925222,12.2,17.374,211.9579233,3210.044113,2262.522661,947.5214512,40.826285,-73.822762
10466,2.029173135,19.7,12.542,247.0688061,2999.489507,2431.427129,568.0623787,40.891039,-73.847226
10467,1.777296635,27.9,10.951,305.5412023,2950.873405,2332.947654,617.9257509,40.87742,-73.872597
10468,1.930887691,32.1,9.933,318.8490343,2893.943825,2250.007232,643.936593,40.868093,-73.89973
10469,2.174384855,15.1,16.537,249.7111141,3748.477054,2722.465303,1026.011752,40.867849,-73.84514
10470,1.520391705,12.4,16.945,210.1218248,2715.137377,2078.757287,636.3800899,40.900965,-73.863998
10471,1.182164457,10,25.365,253.6536354,2539.27658,2144.64219,394.6343899,40.898117,-73.900227
10472,2.107026545,34.4,11.139,383.1722775,2585.906157,2614.508771,-28.60261412,40.82965,-73.869368
10473,1.831208025,25.7,14.728,378.5003942,2986.126256,2560.212671,425.9135855,40.817685,-73.858576
10474,2.179647362,42.9,7.529,322.9793024,2482.064814,3138.330819,-656.2660045,40.810203,-73.884437
10475,1.225843595,10.5,24.519,257.4453805,3712.275505,2069.684656,1642.590849,40.875266,-73.826037
11004,1.767257628,6,19.575,117.4478141,3505.317054,2314.565967,1190.751087,40.745809,-73.71124
11101,1.237254157,18.6,8.338,155.0877076,1877.30919,1587.46206,289.8471298,40.74697,-73.93753
11102,1.335305233,17.5,11.789,206.3068182,1792.207792,1642.794398,149.4133938,40.772884,-73.926295
11103,1.302091286,12,11.303,135.639181,1358.605423,1360.097296,-1.491872721,40.762634,-73.913156
